1	Berkely	30	1500	238.78616352201257
2	Denver	38	1800	249.3896103896104
3	Hollywood	30	2000	198.88819875776397
4	Princeton	37	5000	283.3945578231293
5	Tampa	30	1500	220.50675675675674
6	New York City	30	2100	222.85714285714286
7	Chicago	30	1500	211.2875
8	Dallas	29	1450	207.159509202454
9	Los Angeles	38	2000	230.4503311258278
10	Las Vegas	38	9999	283.9280575539568
11	Oxford	30	3200	224.72794117647058
12	Iowa City	30	1465	224.91549295774647
13	Seattle	45	799	194.75193798449612
14	Columbia	33	1500	215.11904761904762
15	Manhattan	35	975	210.86875
