958,Apartment,Entire home/apt,1,1,1,7,170
3850,House,Private room,1,1,1,5,99
5858,Apartment,Entire home/apt,1,2,30,9,235
7918,Apartment,Private room,4,1,32,6,65
8142,Apartment,Private room,4,1,32,8,65
8339,House,Entire home/apt,1.5,2,6,3,875
8739,Condominium,Private room,1,1,1,14,139
9225,House,Private room,1,1,1,13,135
10251,House,Entire home/apt,1,2,30,12,225
10578,Apartment,Entire home/apt,1,0,30,3,120
10820,Apartment,Entire home/apt,1,3,30,9,177
10824,Apartment,Entire home/apt,2,3,30,8,194
10832,Apartment,Entire home/apt,1.5,1,30,14,139
12041,Apartment,Private room,3,1,32,4,85
12042,Apartment,Private room,3,1,32,8,85
12522,Apartment,Private room,1,1,3,13,79
12584,Townhouse,Entire home/apt,1,2,30,14,122
14125,Apartment,Entire home/apt,1,1,3,13,215
17132,Condominium,Entire home/apt,2,2,90,11,450
18231,Apartment,Entire home/apt,1,0,30,10,107
18904,Townhouse,Private room,1,1,2,5,110
21334,Loft,Entire home/apt,1,1,30,14,125
21914,Apartment,Private room,4,1,32,4,65
23630,House,Entire home/apt,1,1,3,4,155
24450,Apartment,Entire home/apt,1,1,3,3,180
24463,Apartment,Private room,1,1,2,7,155
24685,Apartment,Private room,1,1,1,11,79
24723,Guest suite,Entire home/apt,1,1,5,7,195
25094,House,Private room,1,1,5,4,150
25463,Townhouse,Private room,1,1,3,10,110
25662,House,Private room,1,0,4,7,125
26408,Apartment,Entire home/apt,2,4,2,1,450
27025,Apartment,Entire home/apt,1,1,30,9,125
27028,Condominium,Private room,1,1,1,4,199
29373,House,Entire home/apt,2,2,4,14,220
29557,Apartment,Entire home/apt,1,1,2,2,155
32414,Apartment,Entire home/apt,1,1,30,6,150
33578,House,Entire home/apt,1,1,1,12,240
39174,Guest suite,Entire home/apt,1,1,30,15,107
39418,Apartment,Entire home/apt,1,0,60,8,94
40092,Apartment,Entire home/apt,1,1,30,15,108
40138,Apartment,Private room,1,1,30,12,67
41055,House,Entire home/apt,1,1,4,14,159
41172,House,Private room,2,1,3,1,127
41399,Apartment,Entire home/apt,1,2,30,8,290
41423,House,Entire home/apt,1,0,30,6,136
42403,Apartment,Entire home/apt,1,0,30,7,85
42408,House,Entire home/apt,1,1,30,7,85
42454,Apartment,Entire home/apt,1.5,1,10,7,104
42577,Guest suite,Entire home/apt,1,2,30,4,150
43778,Guest suite,Entire home/apt,1,2,30,9,110
44032,Apartment,Entire home/apt,1,1,30,8,95
44680,Apartment,Entire home/apt,1,1,30,3,175
45299,Guest suite,Entire home/apt,1,0,3,12,116
45956,House,Private room,3,1,1,14,125
47486,House,Entire home/apt,1,2,30,9,78
47682,Apartment,Entire home/apt,1,1,30,4,120
51374,Apartment,Entire home/apt,1,2,365,10,9999
51557,Apartment,Entire home/apt,1,1,30,3,119
51773,Apartment,Private room,0,1,30,8,55
53280,House,Private room,1,1,3,5,90
53934,Apartment,Entire home/apt,1,2,80,13,163
54518,Condominium,Entire home/apt,1.5,1,30,11,185
54634,Apartment,Entire home/apt,1,1,30,6,115
55632,Apartment,Entire home/apt,1,1,30,4,112
55636,Apartment,Entire home/apt,1,1,30,6,116
56621,Apartment,Private room,0,1,30,14,55
56715,Apartment,Entire home/apt,1,2,3,14,187
57479,Apartment,Entire home/apt,2,2,90,2,200
57561,Apartment,Entire home/apt,1,1,30,1,175
57676,Apartment,Private room,1,1,30,9,99
59344,Guest suite,Entire home/apt,1,1,2,10,135
59381,Condominium,Private room,2,1,2,13,109
59702,Cottage,Private room,1,1,30,8,150
59831,House,Private room,1,1,60,8,100
60365,House,Entire home/apt,2,3,4,15,475
62519,Apartment,Private room,1,1,2,3,85
62651,House,Entire home/apt,2.5,3,3,12,950
63247,Guest suite,Entire home/apt,1,1,2,6,166
64165,Apartment,Private room,2,1,30,12,90
66119,Apartment,Entire home/apt,1,0,30,10,95
66188,Apartment,Entire home/apt,2,3,30,2,216
66664,Apartment,Entire home/apt,1,1,30,12,90
68239,Apartment,Entire home/apt,1,1,30,2,326
69410,House,Entire home/apt,1,2,30,1,80
69549,House,Private room,1,1,30,8,46
69553,House,Private room,1,1,30,8,37
69681,Apartment,Entire home/apt,2,3,30,2,185
70139,Apartment,Entire home/apt,1,1,30,3,108
70284,House,Shared room,2.5,1,30,1,30
70753,Hostel,Shared room,3,1,1,14,45
71645,Guest suite,Private room,1,1,3,13,109
71779,Apartment,Entire home/apt,1,1,30,6,80
72365,Apartment,Entire home/apt,1,0,30,5,90
72444,Hostel,Shared room,1,1,1,7,45
72921,Apartment,Entire home/apt,1,1,30,6,105
73011,Apartment,Entire home/apt,1,1,30,14,270
74451,Apartment,Entire home/apt,1,0,30,1,100
74758,House,Private room,1,1,30,4,37
75422,House,Private room,1,1,30,4,40
75423,House,Private room,1,1,30,8,45
77175,House,Entire home/apt,1,1,3,9,135
77932,House,Private room,1,1,30,5,57
78651,Apartment,Private room,2,1,30,15,75
80394,Apartment,Entire home/apt,1,1,30,4,140
81158,Condominium,Entire home/apt,1,1,30,12,83
81256,House,Private room,1,1,30,7,45
83257,House,Private room,1,1,1,9,90
83553,Apartment,Entire home/apt,1,0,30,14,85
84777,Guest suite,Entire home/apt,1,1,5,13,85
87640,Guest suite,Private room,1,1,2,12,115
91957,Apartment,Entire home/apt,1.5,2,30,8,201
96383,Apartment,Private room,0,1,30,3,59
99094,Apartment,Entire home/apt,1,2,4,4,185
100710,Apartment,Entire home/apt,2,3,4,8,450
102951,House,Shared room,2.5,1,30,6,30
105497,House,Private room,1,1,45,15,85
106025,Apartment,Entire home/apt,2,2,30,8,130
109883,Guest suite,Entire home/apt,1,2,2,9,125
110825,House,Entire home/apt,1,2,30,13,120
113211,House,Shared room,2.5,1,30,11,30
114401,Condominium,Private room,1,1,1,9,125
115242,Condominium,Entire home/apt,1,1,30,12,125
121065,Apartment,Entire home/apt,1,1,30,15,200
126046,Apartment,Entire home/apt,1,3,30,11,150
128230,Apartment,Entire home/apt,1,1,3,11,328
130775,Apartment,Private room,4,1,32,4,65
130805,Apartment,Entire home/apt,1,1,30,3,97
132441,House,Private room,1,1,1,11,69
